,ent_h,rel,ent_t
237,15MonthOld,hasBoyWeight,22.7
238,15MonthOld,hasgirlheight,30.5
239,15MonthOld,hasGirlWeight,21.2
240,15MonthOld,needMealTime,3.0
241,15MonthOld,needMilkCup,3.0
242,15MonthOld,needSnackTime,2.0
243,16MonthOld,act,ColoringWithCrayons
244,16MonthOld,act,PretendingObjects
245,16MonthOld,act,Scribble
246,16MonthOld,act,StackingBlocks
247,16MonthOld,do,IntroducingPotty
248,16MonthOld,do,SayingAtLeast2-3Words
249,16MonthOld,do,TeethingCanines
250,16MonthOld,do,TeethingLowerCuspids
251,16MonthOld,do,WalkingWell
252,16MonthOld,eat,BreastMilk
253,16MonthOld,eat,Diary
254,16MonthOld,eat,FormulaMilk
255,16MonthOld,eat,Fruit
256,16MonthOld,eat,Grain
257,16MonthOld,eat,Protein
258,16MonthOld,eat,Snack
259,16MonthOld,eat,Vegetable
260,16MonthOld,eat,Water
261,16MonthOld,eat,WholeMilk
262,16MonthOld,hasAge,16
263,16MonthOld,hasboyheight,31.6
264,16MonthOld,hasBoyWeight,23.2
265,16MonthOld,hasgirlheight,30.9
266,16MonthOld,hasGirlWeight,21.6
267,16MonthOld,needMealTime,3.0
268,16MonthOld,needMilkCup,3.0
269,16MonthOld,needSnackTime,2.0
270,17MonthOld,act,KickingBall
271,17MonthOld,act,RidingToys
272,17MonthOld,act,Sorting
273,17MonthOld,act,ThrowingBall
274,17MonthOld,do,EncouragingChildToSitOnPottySeat
275,17MonthOld,do,Running
276,17MonthOld,do,SayingAtLeast2-3Words
277,17MonthOld,do,Stepping
278,17MonthOld,do,TeethingLowerCuspids
279,17MonthOld,eat,BreastMilk
280,17MonthOld,eat,Diary
281,17MonthOld,eat,FormulaMilk
282,17MonthOld,eat,Fruit
283,17MonthOld,eat,Grain
284,17MonthOld,eat,Protein
285,17MonthOld,eat,Snack
286,17MonthOld,eat,Vegetable
287,17MonthOld,eat,Water
288,17MonthOld,eat,WholeMilk
289,17MonthOld,hasAge,17
290,17MonthOld,hasboyheight,32.0
291,17MonthOld,hasBoyWeight,23.7
292,17MonthOld,hasgirlheight,31.4
293,17MonthOld,hasGirlWeight,22.1
294,17MonthOld,needFruitCup,0.125
295,17MonthOld,needMealTime,3.0
296,17MonthOld,needSnackTime,2.0
297,17MonthOld,needVeggieCup,0.06
298,18MonthOld,act,BlowingBubbles
299,18MonthOld,act,PlayingCatch
300,18MonthOld,act,PlayingHideAndSeek
301,18MonthOld,act,PlayingMusic
302,18MonthOld,act,ReadingBook
303,18MonthOld,act,Singing
304,18MonthOld,do,Running
305,18MonthOld,do,ShowingReadinessOfPottyTraining
306,18MonthOld,do,Speaking10To20Words
307,18MonthOld,eat,BreastMilk
308,18MonthOld,eat,Diary
309,18MonthOld,eat,FormulaMilk
310,18MonthOld,eat,Fruit
311,18MonthOld,eat,Grain
312,18MonthOld,eat,Protein
313,18MonthOld,eat,Snack
314,18MonthOld,eat,Vegetable
315,18MonthOld,eat,Water
316,18MonthOld,eat,WholeMilk
317,18MonthOld,hasAge,18
318,18MonthOld,hasboyheight,32.4
319,18MonthOld,hasBoyWeight,24.1
320,18MonthOld,hasgirlheight,31.8
321,18MonthOld,hasGirlWeight,23.4
322,18MonthOld,needFruitCup,1.0
323,18MonthOld,needGrainCup,0.25
324,18MonthOld,needMealTime,3.0
325,18MonthOld,needSnackTime,2.0
326,18MonthOld,needVeggieCup,1.0
327,19MonthOld,act,CaringBabyDoll
328,19MonthOld,act,GoingToThePark
329,19MonthOld,act,PlayingPuppet
330,19MonthOld,act,PlayingSoccer
331,19MonthOld,behave,AwareOfBeingAway
332,19MonthOld,behave,ConditionalSeparationAnxiety
333,19MonthOld,behave,ConditionalTantrum
334,19MonthOld,check,DistractAtDoctors
335,19MonthOld,check,DressingIndependently
336,19MonthOld,check,NoLongLecture
337,19MonthOld,do,Climbing
338,19MonthOld,do,PickingUp
339,19MonthOld,do,Running
340,19MonthOld,do,Speaking10To20Words
341,19MonthOld,do,TeethingCuspids
342,19MonthOld,do,TeethingLowerSecondMolar
343,19MonthOld,eat,Water
344,19MonthOld,isa,FastLearner
345,19MonthOld,isa,IndividualPersonality
346,19MonthOld,suffer,Constipation
347,19MonthOld,suffer,Coughing
348,19MonthOld,suffer,Diarrhea
349,19MonthOld,suffer,Fever
350,19MonthOld,suffer,Vomiting
351,19MonthOld,hasAge,19
352,19MonthOld,hasboyheight,32.8
353,19MonthOld,hasBoyWeight,24.6
354,19MonthOld,hasgirlheight,32.2
355,19MonthOld,hasGirlWeight,23.9
356,19MonthOld,needCalcium,700.0
357,19MonthOld,needFruitCup,0.75
358,19MonthOld,needGrainCup,0.25
359,19MonthOld,needMealTime,3.0
360,19MonthOld,needMilkCup,8.0
361,19MonthOld,needNapDuration,1.5
362,19MonthOld,needProteinSpoon,3.0
363,19MonthOld,needSleepDuration,11.0
364,19MonthOld,needSnackTime,2.0
365,19MonthOld,needVeggieCup,0.75
366,2MonthOld,act,Outing
367,2MonthOld,developeSense,BetterMovingAndFocusing
368,2MonthOld,developeSense,ComfortedByParentsTouch
369,2MonthOld,developeSense,FollowingMovingObjects
370,2MonthOld,developeSense,InterestedInParentsSaying
371,2MonthOld,do,LiftingTheirHeadAndShoulder
372,2MonthOld,do,MovingFreely
373,2MonthOld,do,RespondingToParents
374,2MonthOld,do,SoothingThemselvesBySuckingTheirFists
375,2MonthOld,eat,BreastMilk
376,2MonthOld,eat,FormulaMilk
377,2MonthOld,suffer,Coughing
378,2MonthOld,suffer,Diarrhea
379,2MonthOld,hasAge,2
380,2MonthOld,hasboyheight,23.0
381,2MonthOld,hasBoyWeight,12.3
382,2MonthOld,hasgirlheight,22.5
383,2MonthOld,hasGirlWeight,11.3
384,2MonthOld,needMilkOunce,4.0
385,2MonthOld,needMilkTime,6.0
386,2MonthOld,needNapDuration,7.0
387,2MonthOld,needSleepDuration,15.5
388,20MonthOld,act,DrawingCrayon
389,20MonthOld,act,HeadShoulderKneeToe
390,20MonthOld,act,PlayingBlock
391,20MonthOld,act,SimpleChores
392,20MonthOld,behave,AwareOfBeingAway
393,20MonthOld,behave,Biting
394,20MonthOld,behave,ConditionalSeparationAnxiety
395,20MonthOld,behave,ConditionalTantrum
396,20MonthOld,behave,Hitting
397,20MonthOld,behave,Pushing
398,20MonthOld,check,FluorideToothpaste
399,20MonthOld,check,GoodHygiene
400,20MonthOld,check,WashingHairOnceAWeek
401,20MonthOld,do,CribToBed
402,20MonthOld,do,EatingIndependently
403,20MonthOld,do,RefusingFood
404,20MonthOld,do,SomePottyTrainingReady
405,20MonthOld,do,Speaking20To50Words
406,20MonthOld,do,StandingOneFoot
407,20MonthOld,do,Stepping
408,20MonthOld,do,TeethingLowerSecondMolar
409,20MonthOld,eat,Banana
410,20MonthOld,eat,Bean
411,20MonthOld,eat,Beef
412,20MonthOld,eat,Cereal
413,20MonthOld,eat,GreanLeafyVeggie
414,20MonthOld,eat,Prune
415,20MonthOld,eat,Tofu
416,20MonthOld,eat,Water
417,20MonthOld,eat,WholeMilk
418,20MonthOld,eat,WholeWheatPasta
419,20MonthOld,isa,Energetic
420,20MonthOld,isa,FastLearner
421,20MonthOld,isa,FunLoving
422,20MonthOld,isa,IndividualPersonality
423,20MonthOld,suffer,Constipation
424,20MonthOld,suffer,Diarrhea
425,20MonthOld,suffer,Fever
426,20MonthOld,suffer,SleepRegression
427,20MonthOld,suffer,WakingUpTooEarly
428,20MonthOld,hasAge,19
429,20MonthOld,hasboyheight,33.1
430,20MonthOld,hasBoyWeight,25.0
431,20MonthOld,hasgirlheight,32.6
432,20MonthOld,hasGirlWeight,24.4
433,20MonthOld,needMealTime,3.0
434,20MonthOld,needNapDuration,1.5
435,20MonthOld,needSleepDuration,11.0
436,20MonthOld,needSnackTime,2.0
437,21MonthOld,act,DoingPuzzle
438,21MonthOld,act,MakingCardboardHouse
439,21MonthOld,act,PlayingTag
440,21MonthOld,behave,AwareOfBeingAway
441,21MonthOld,behave,Biting
442,21MonthOld,behave,ConditionalSeparationAnxiety
443,21MonthOld,behave,ConditionalTantrum
444,21MonthOld,behave,Hitting
445,21MonthOld,behave,Pushing
446,21MonthOld,behave,SeekingApproval
447,21MonthOld,check,DressingIndependently
448,21MonthOld,check,PraiseSharing
449,21MonthOld,check,SwimmingClass
450,21MonthOld,do,PickyEating
451,21MonthOld,do,Running
452,21MonthOld,do,SomePottyTrainingReady
453,21MonthOld,do,Speaking50or100Words
454,21MonthOld,do,SpeakingPhrase
455,21MonthOld,do,Squating
456,21MonthOld,do,TeethingLowerSecondMolar
457,21MonthOld,do,Throwing
458,21MonthOld,eat,FiberGummy
459,21MonthOld,eat,Fruit
460,21MonthOld,eat,Grain
461,21MonthOld,eat,IronSupplement
462,21MonthOld,eat,Protein
463,21MonthOld,eat,Vegetable
464,21MonthOld,eat,VitaminSupplement
465,21MonthOld,eat,Water
466,21MonthOld,eat,WholeMilk
467,21MonthOld,isa,IndividualPersonality
468,21MonthOld,isa,ShowingOff
469,21MonthOld,suffer,Constipation
470,21MonthOld,suffer,Coughing
471,21MonthOld,suffer,Diarrhea
472,21MonthOld,suffer,Fever
473,21MonthOld,suffer,HeartDisease
474,21MonthOld,suffer,SleepRegression
475,21MonthOld,suffer,Vomiting
476,21MonthOld,suffer,WakingUpTooEarly
477,21MonthOld,hasAge,19
478,21MonthOld,hasboyheight,33.5
479,21MonthOld,hasBoyWeight,25.5
480,21MonthOld,hasgirlheight,32.9
481,21MonthOld,hasGirlWeight,24.9
482,21MonthOld,needCalcium,700.0
483,21MonthOld,needMealTime,3.0
484,21MonthOld,needNapDuration,1.5
485,21MonthOld,needSleepDuration,11.0
486,21MonthOld,needSnackTime,2.0
487,22MonthOld,act,PlayingMusicalInstrument
488,22MonthOld,act,PlayingPretend
489,22MonthOld,act,ReadingBook
490,22MonthOld,act,RidingTricycle
491,22MonthOld,behave,ConditionalTantrum
492,22MonthOld,behave,SeekingApproval
493,22MonthOld,behave,SexualCuriosity
494,22MonthOld,check,CoughIntoCrook
495,22MonthOld,check,ExploreNewFood
496,22MonthOld,check,NotRespondingRightAway
497,22MonthOld,do,KickingBall
498,22MonthOld,do,PickyEating
499,22MonthOld,do,PottyTrainingReady
500,22MonthOld,do,RidingTricycle
501,22MonthOld,do,Speaking50or100Words
502,22MonthOld,do,StandingOneFoot
503,22MonthOld,do,TeethingLowerSecondMolar
504,22MonthOld,do,TeethingUpperSecondMolar
505,22MonthOld,do,WalkingBackwards
506,22MonthOld,eat,Chicken
507,22MonthOld,eat,FiberGummy
508,22MonthOld,eat,Fruit
509,22MonthOld,eat,Grain
510,22MonthOld,eat,IronSupplement
511,22MonthOld,eat,Protein
512,22MonthOld,eat,Rice
513,22MonthOld,eat,VitaminSupplement
514,22MonthOld,eat,Water
515,22MonthOld,eat,WholeMilk
516,22MonthOld,isa,IndividualPersonality
517,22MonthOld,isa,ShowingOff
518,22MonthOld,suffer,Constipation
519,22MonthOld,suffer,Coughing
520,22MonthOld,suffer,Diarrhea
521,22MonthOld,suffer,Fever
522,22MonthOld,suffer,SleepRegression
523,22MonthOld,suffer,Vomiting
524,22MonthOld,suffer,WakingUpTooEarly
525,22MonthOld,hasAge,19
526,22MonthOld,hasboyheight,33.9
527,22MonthOld,hasBoyWeight,25.9
528,22MonthOld,hasgirlheight,33.4
529,22MonthOld,hasGirlWeight,25.4
530,22MonthOld,needCalcium,700.0
531,22MonthOld,needMealTime,3.0
532,22MonthOld,needNapDuration,1.5
533,22MonthOld,needSleepDuration,11.0
534,22MonthOld,needSnackTime,2.0
535,23MonthOld,act,PlayingPullingToy
536,23MonthOld,act,RidingTricycle
537,23MonthOld,act,WalkingGame
538,23MonthOld,behave,ConditionalTantrum
539,23MonthOld,behave,SeekingApproval
540,23MonthOld,check,BetterChildproofing
541,23MonthOld,check,KeepQuote
542,23MonthOld,check,PlanBirthdayParty
543,23MonthOld,do,KickingBall
544,23MonthOld,do,PickyEating
545,23MonthOld,do,PottyTrainingReady
546,23MonthOld,do,RidingTricycle
547,23MonthOld,do,Speaking50or100Words
548,23MonthOld,do,StandingOneFoot
549,23MonthOld,do,TeethingLowerSecondMolar
550,23MonthOld,do,TeethingUpperSecondMolar
551,23MonthOld,do,WalkingBackwards
552,23MonthOld,eat,Chicken
553,23MonthOld,eat,FiberGummy
554,23MonthOld,eat,Fruit
555,23MonthOld,eat,Grain
556,23MonthOld,eat,IronSupplement
557,23MonthOld,eat,Protein
558,23MonthOld,eat,Rice
559,23MonthOld,eat,VitaminSupplement
560,23MonthOld,eat,Water
561,23MonthOld,eat,WholeMilk
562,23MonthOld,isa,Communicative
563,23MonthOld,isa,Resistent
564,23MonthOld,suffer,Constipation
565,23MonthOld,suffer,Coughing
566,23MonthOld,suffer,Diarrhea
567,23MonthOld,suffer,Fever
568,23MonthOld,suffer,SleepRegression
569,23MonthOld,suffer,Vomiting
570,23MonthOld,suffer,WakingUpTooEarly
571,23MonthOld,hasAge,19
572,23MonthOld,hasboyheight,34.2
573,23MonthOld,hasBoyWeight,26.3
574,23MonthOld,hasgirlheight,33.7
575,23MonthOld,hasGirlWeight,25.9
576,23MonthOld,needCalcium,700.0
577,23MonthOld,needMealTime,3.0
578,23MonthOld,needNapDuration,1.5
579,23MonthOld,needSleepDuration,11.0
580,23MonthOld,needSnackTime,2.0
581,24MonthOld,act,DrawingCrayon
582,24MonthOld,act,PlayingBlock
583,24MonthOld,act,PlayingPullingToy
584,24MonthOld,act,PlayingPuppet
585,24MonthOld,act,RidingTricycle
586,24MonthOld,act,WalkingGame
587,24MonthOld,behave,TerribleTantrum
588,24MonthOld,check,TwoYearMedicalCheckup
589,24MonthOld,do,PickyEating
590,24MonthOld,do,PottyTrainingReady
591,24MonthOld,do,PullingPants
592,24MonthOld,do,RidingTricycle
593,24MonthOld,do,Speaking50or100Words
594,24MonthOld,do,SpeakingTwoPhrases
595,24MonthOld,do,StandingOneFoot
596,24MonthOld,do,SteppingOneFoot
597,24MonthOld,do,TeethingLowerSecondMolar
598,24MonthOld,do,TeethingUpperSecondMolar
599,24MonthOld,do,TellingChange
600,24MonthOld,do,TellingThePottyTime
601,24MonthOld,eat,Cheese
602,24MonthOld,eat,Chicken
603,24MonthOld,eat,FiberGummy
604,24MonthOld,eat,Fruit
605,24MonthOld,eat,Grain
606,24MonthOld,eat,IronSupplement
607,24MonthOld,eat,Protein
608,24MonthOld,eat,Rice
609,24MonthOld,eat,SkimMilk
610,24MonthOld,eat,VitaminSupplement
611,24MonthOld,eat,Water
612,24MonthOld,eat,Yogurt
613,24MonthOld,isa,Brave
614,24MonthOld,isa,Confident
615,24MonthOld,suffer,Constipation
616,24MonthOld,suffer,Coughing
617,24MonthOld,suffer,Diarrhea
618,24MonthOld,suffer,Fever
619,24MonthOld,suffer,SleepRegression
620,24MonthOld,suffer,Vomiting
621,24MonthOld,suffer,WakingUpTooEarly
622,24MonthOld,hasAge,19
623,24MonthOld,hasboyheight,34.2
624,24MonthOld,hasBoyWeight,27.5
625,24MonthOld,hasgirlheight,33.5
626,24MonthOld,hasGirlWeight,26.5
627,24MonthOld,needCalcium,700.0
628,24MonthOld,needMealTime,3.0
629,24MonthOld,needNapDuration,1.5
630,24MonthOld,needSleepDuration,11.0
631,24MonthOld,needSnackTime,2.0
632,25MonthOld,act,Outing
633,25MonthOld,act,PlayingBlock
634,25MonthOld,act,PlayingPushingToy
635,25MonthOld,act,PlayingTextureToy
636,25MonthOld,act,PlyaingPopUpToy
637,25MonthOld,behave,Defiance
638,25MonthOld,behave,TerribleTantrum
639,25MonthOld,do,PickyEating
640,25MonthOld,do,PottyTrainingReady
641,25MonthOld,do,PullingPants
642,25MonthOld,do,RidingTricycle
643,25MonthOld,do,Speaking50or100Words
644,25MonthOld,do,SpeakingTwoPhrases
645,25MonthOld,do,StandingOneFoot
646,25MonthOld,do,SteppingOneFoot
647,25MonthOld,do,TeethingLowerSecondMolar
648,25MonthOld,do,TeethingUpperSecondMolar
649,25MonthOld,do,TellingChange
650,25MonthOld,do,TellingThePottyTime
651,25MonthOld,do,Weaning
652,25MonthOld,eat,Carrot
653,25MonthOld,eat,Celery
654,25MonthOld,eat,Cheese
655,25MonthOld,eat,Chicken
656,25MonthOld,eat,CookedVeggie
657,25MonthOld,eat,FiberGummy
658,25MonthOld,eat,Fruit
659,25MonthOld,eat,Grain
660,25MonthOld,eat,IronSupplement
661,25MonthOld,eat,Protein
662,25MonthOld,eat,Rice
663,25MonthOld,eat,SkimMilk
664,25MonthOld,eat,SteamedVeggie
665,25MonthOld,eat,VitaminSupplement
666,25MonthOld,eat,Water
667,25MonthOld,eat,Yogurt
668,25MonthOld,isa,Defiant
669,25MonthOld,isa,Frustrating
670,25MonthOld,isa,Independent
671,25MonthOld,isa,SelfCentered
672,25MonthOld,isa,Stubborn
673,25MonthOld,suffer,Constipation
674,25MonthOld,suffer,Coughing
675,25MonthOld,suffer,Diarrhea
676,25MonthOld,suffer,Fever
677,25MonthOld,suffer,SleepRegression
678,25MonthOld,suffer,Vomiting
679,25MonthOld,suffer,WakingUpTooEarly
680,25MonthOld,hasAge,19
681,25MonthOld,hasboyheight,34.5
682,25MonthOld,hasBoyWeight,28.4
683,25MonthOld,hasgirlheight,34.0
684,25MonthOld,hasGirlWeight,27.1
685,25MonthOld,needCalcium,700.0
686,25MonthOld,needMealTime,3.0
687,25MonthOld,needNapDuration,1.5
688,25MonthOld,needSleepDuration,11.0
689,25MonthOld,needSnackTime,2.0
690,26MonthOld,act,DrawingColoring
691,26MonthOld,act,DrawingCrayon
692,26MonthOld,act,MakingEasyArt
693,26MonthOld,act,PlayingHideAndSeek
694,26MonthOld,act,ReadingBook
695,26MonthOld,behave,AskingEverything
696,26MonthOld,behave,Biting
697,26MonthOld,behave,Defiance
698,26MonthOld,behave,TerribleTantrum
699,26MonthOld,do,PickyEating
700,26MonthOld,do,PottyTrainingReady
701,26MonthOld,do,PullingPants
702,26MonthOld,do,RidingTricycle
703,26MonthOld,do,Speaking50or100Words
704,26MonthOld,do,SpeakingTwoPhrases
705,26MonthOld,do,SpeakingTwoWordSentence
706,26MonthOld,do,StandingOneFoot
707,26MonthOld,do,SteppingOneFoot
708,26MonthOld,do,TeethingLowerSecondMolar
709,26MonthOld,do,TeethingUpperSecondMolar
